PLAYER,TEAM,MATCH UP,GAME DATE,WL,MIN,PTS,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,FP
Mac McClung,LAL,LAL @ DEN,04/10/2022,W,22,6,2,5,40.0,1,3,33.3,1,1,100,0,3,3,1,1,1,2,5,9,15.1
Josh Richardson,SAS,SAS @ DAL,04/10/2022,L,28,18,6,12,50.0,4,7,57.1,2,2,100,0,3,3,1,1,0,2,1,5,24.1
Spencer Dinwiddie,DAL,DAL vs. SAS,04/10/2022,W,18,8,3,7,42.9,2,4,50.0,0,0,-,0,3,3,5,1,0,1,1,2,21.1
Davis Bertans,DAL,DAL vs. SAS,04/10/2022,W,13,8,3,4,75.0,2,3,66.7,0,0,-,0,1,1,0,1,0,0,1,-9,12.2
Moses Wright,DAL,DAL vs. SAS,04/10/2022,W,8,2,0,0,-,0,0,-,2,2,100,0,2,2,1,0,1,0,0,-2,8.9
Joe Wieskamp,SAS,SAS @ DAL,04/10/2022,L,9,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,4,1.2
Joshua Primo,SAS,SAS @ DAL,04/10/2022,L,19,4,2,2,100,0,0,-,0,0,-,0,2,2,1,0,1,0,2,-12,10.9
Tre Jones,SAS,SAS @ DAL,04/10/2022,L,21,12,5,9,55.6,2,4,50.0,0,0,-,0,1,1,6,2,0,0,2,2,28.2
Devontae Cacok,SAS,SAS @ DAL,04/10/2022,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-2,1.2
Jock Landale,SAS,SAS @ DAL,04/10/2022,L,5,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,2.0
Luka Doncic,DAL,DAL vs. SAS,04/10/2022,W,29,26,8,18,44.4,2,5,40.0,8,8,100,1,7,8,9,2,1,4,1,19,54.1
Jalen Brunson,DAL,DAL vs. SAS,04/10/2022,W,25,18,7,13,53.8,3,7,42.9,1,2,50.0,0,6,6,5,0,0,1,0,12,31.7
Keita Bates-Diop,SAS,SAS @ DAL,04/10/2022,L,14,8,3,6,50.0,0,0,-,2,2,100,2,2,4,1,0,0,0,0,-1,14.3
Zach Collins,SAS,SAS @ DAL,04/10/2022,L,15,8,3,3,100,0,0,-,2,2,100,0,2,2,4,3,1,1,3,2,27.4
Dorian Finney-Smith,DAL,DAL vs. SAS,04/10/2022,W,27,16,6,7,85.7,4,5,80.0,0,0,-,0,3,3,1,1,0,0,0,14,24.1
Boban Marjanovic,DAL,DAL vs. SAS,04/10/2022,W,8,4,2,4,50.0,0,1,0.0,0,0,-,1,1,2,1,0,0,2,1,-2,5.9
Dwight Powell,DAL,DAL vs. SAS,04/10/2022,W,25,12,5,6,83.3,0,0,-,2,6,33.3,3,4,7,2,0,1,3,2,11,23.4
Trey Burke,DAL,DAL vs. SAS,04/10/2022,W,9,3,1,3,33.3,1,1,100,0,0,-,0,1,1,4,0,0,0,0,-1,10.2
Reggie Bullock Jr.,DAL,DAL vs. SAS,04/10/2022,W,27,4,1,6,16.7,1,3,33.3,1,1,100,1,2,3,2,0,0,1,3,16,9.6
Terry Taylor,IND,IND @ BKN,04/10/2022,L,24,10,4,7,57.1,0,1,0.0,2,2,100,6,1,7,1,1,0,0,2,-12,22.9
Duane Washington Jr.,IND,IND @ BKN,04/10/2022,L,19,18,7,11,63.6,4,6,66.7,0,0,-,0,0,0,0,1,0,0,0,-4,21.0
Kessler Edwards,BKN,BKN vs. IND,04/10/2022,W,39,10,4,7,57.1,0,1,0.0,2,2,100,1,4,5,0,0,2,2,3,8,20.0
Isaiah Jackson,IND,IND @ BKN,04/10/2022,L,32,7,3,4,75.0,0,0,-,1,2,50.0,0,3,3,0,2,1,2,5,3,17.6
Nic Claxton,BKN,BKN vs. IND,04/10/2022,W,23,14,6,6,100,0,0,-,2,2,100,2,4,6,4,0,0,1,4,7,26.2
Bruce Brown,BKN,BKN vs. IND,04/10/2022,W,38,21,8,13,61.5,1,2,50.0,4,5,80.0,0,7,7,3,3,2,3,3,0,45.9
Kyrie Irving,BKN,BKN vs. IND,04/10/2022,W,40,35,15,20,75.0,4,6,66.7,1,2,50.0,1,6,7,5,1,0,3,2,3,50.9
Lance Stephenson,IND,IND @ BKN,04/10/2022,L,17,10,3,8,37.5,0,1,0.0,4,6,66.7,0,1,1,5,1,0,1,4,-15,20.7
Patty Mills,BKN,BKN vs. IND,04/10/2022,W,30,8,3,6,50.0,2,5,40.0,0,0,-,0,2,2,2,0,0,3,1,16,10.4
Cam Thomas,BKN,BKN vs. IND,04/10/2022,W,9,6,2,3,66.7,1,2,50.0,1,2,50.0,0,0,0,0,0,0,1,0,-2,5.0
Tyrese Haliburton,IND,IND @ BKN,04/10/2022,L,39,17,7,14,50.0,2,5,40.0,1,1,100,2,2,4,10,2,0,1,0,-9,41.8
Oshae Brissett,IND,IND @ BKN,04/10/2022,L,36,28,10,20,50.0,5,10,50.0,3,4,75.0,3,5,8,3,1,0,0,5,-9,45.1
